
{2014-01-02}
     DadosDoDia{name='WEG'codNegociation='WEGE3-NM   R$', complany=WEGE3-NM   R$, date=2014-01-03, openPrice=30.48, closePrice=30.0, percentage=0.0, minPrice=30.0, maxPrice=30.55, avgPrice=30.16, total=6198.0} 
     DadosDoDia{name='TELEF BRASIL'codNegociation='VIVT3-R$', complany=VIVT3-R$, date=2014-01-03, openPrice=38.89, closePrice=41.49, percentage=0.0, minPrice=38.86, maxPrice=41.49, avgPrice=40.79, total=387.0} 
     DadosDoDia{name='TELEF BRASIL'codNegociation='VIVT3F-R$', complany=VIVT3F-R$, date=2014-01-03, openPrice=39.0, closePrice=40.4, percentage=0.0, minPrice=38.55, maxPrice=40.4, avgPrice=39.15, total=0.91} 
     DadosDoDia{name='CIELO'codNegociation='CIEL3-NM   R$', complany=CIEL3-NM   R$, date=2014-01-03, openPrice=66.19, closePrice=66.5, percentage=0.0, minPrice=66.18, maxPrice=67.36, avgPrice=66.71, total=21625.0} 
     DadosDoDia{name='JSL'codNegociation='JSLG3F-NM   R$', complany=JSLG3F-NM   R$, date=2014-01-03, openPrice=15.9, closePrice=15.89, percentage=0.0, minPrice=15.89, maxPrice=15.9, avgPrice=15.89, total=0.29} 
     DadosDoDia{name='ULTRAPAR'codNegociation='UGPA3F-NM   R$', complany=UGPA3F-NM   R$, date=2014-01-03, openPrice=54.56, closePrice=54.4, percentage=0.0, minPrice=53.5, maxPrice=54.56, avgPrice=54.02, total=34.99} 
     DadosDoDia{name='LOJAS RENNER'codNegociation='LREN3F-NM   R$', complany=LREN3F-NM   R$, date=2014-01-03, openPrice=60.0, closePrice=58.0, percentage=0.0, minPrice=58.0, maxPrice=60.26, avgPrice=59.28, total=7.99} 
     DadosDoDia{name='NATURA'codNegociation='NATU3F-NM   R$', complany=NATU3F-NM   R$, date=2014-01-03, openPrice=40.32, closePrice=40.68, percentage=0.0, minPrice=40.32, maxPrice=40.76, avgPrice=40.53, total=11.15} 
     DadosDoDia{name='NATURA'codNegociation='NATU3-NM   R$', complany=NATU3-NM   R$, date=2014-01-03, openPrice=40.28, closePrice=40.81, percentage=0.0, minPrice=40.26, maxPrice=40.81, avgPrice=40.61, total=11383.0} 
     DadosDoDia{name='LOJAS RENNER'codNegociation='LREN3-NM   R$', complany=LREN3-NM   R$, date=2014-01-03, openPrice=59.1, closePrice=59.75, percentage=0.0, minPrice=59.01, maxPrice=60.0, avgPrice=59.48, total=9555.0} 
